Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,29,1992,14.6,5,0,0,32,24,2,10,14,13,0,0,0,Matches
Finn Dahmen\dee3013b,de GER,GK,Mainz 05,23,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,25,1996,18.4,7,1,1,20,17,0,14,31,29,0,0,0,Matches
Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,19,2002,8.4,2,0,0,10,8,0,1,16,6,0,0,0,Matches
Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,30,1990,19.8,6,0,0,25,35,3,27,30,23,0,0,0,Matches
Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,20,2000,19.3,3,0,0,15,31,3,60,42,25,0,0,0,Matches
Saulo Decarli\41df88b8,ch SUI,DF,Bochum,29,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,29,1991,0.2,0,0,0,0,1,0,0,1,0,0,0,0,Matches
Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,28,1993,22.8,10,0,0,37,32,3,27,51,39,0,0,0,Matches
Ermedin Demirovi?\ed79b7d3,ba BIH,FWMF,Freiburg,23,1998,9.7,4,0,0,30,8,12,8,3,4,0,0,0,Matches
Mike van der Hoorn\25f50295,nl NED,DF,Arminia,28,1992,0.2,0,0,0,0,1,0,0,0,2,0,0,0,Matches
Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,22,1999,30.7,10,1,1,41,30,17,87,21,11,0,0,0,Matches
Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,31,1990,3.1,1,0,0,3,6,2,5,1,1,0,0,0,Matches
Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,23,1998,1.5,0,0,0,3,3,0,0,2,1,0,0,0,Matches
Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,24,1997,1.3,0,0,0,2,3,1,2,2,1,0,0,0,Matches
Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,23,1998,25.8,8,0,0,64,58,0,2,64,54,0,0,0,Matches
Ondrej Duda\79ca3e23,sk SVK,MF,Köln,26,1994,17.9,5,0,0,42,36,0,13,28,18,0,0,0,Matches
