Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Oliver Bundgaard\46a51ca7,dk DEN,DF,Randers,20,2001,20.2,1,0,0,23,14,1,68,35,38,,,0,Matches
Mustapha Bundu\9d50bfd3,sl SLE,FWMF,AGF,24,1997,16.7,1,0,0,13,11,11,66,8,8,,,0,Matches
Nicolas Bürgy\a4851d9e,ch SUI,DF,Viborg,25,1995,14,2,0,0,5,6,0,2,12,11,,,0,Matches
Alexander Busch\de664c71,dk DEN,DF,Silkeborg,18,2003,1.1,0,0,0,1,0,0,0,1,1,,,0,Matches
Tobias Børkeeiet\2d54d501,no NOR,DFMF,Brøndby,22,1999,4.6,2,0,0,2,1,0,0,5,1,,,0,Matches
Frederik Børsting\fd957a77,dk DEN,MFDF,Aalborg,26,1995,9.2,3,0,0,14,18,1,37,13,14,,,0,Matches
Jens Cajuste\928a4a61,se SWE,MF,Midtjylland,21,1999,2.7,0,0,0,2,6,0,1,3,3,,,0,Matches
André Calisir\b33fa7ce,am ARM,DF,Silkeborg,31,1990,15.2,6,0,0,17,11,0,0,34,15,,,0,Matches
Christian Cappis\25ef5b47,us USA,MF,Brøndby,21,1999,11.8,2,0,0,14,14,0,13,12,20,,,0,Matches
Patrik Carlgren\168c50c5,se SWE,GK,Randers,29,1992,32,2,0,0,0,7,0,0,2,1,,,0,Matches
Frederik Carstensen\d3f4537d,dk DEN,FW,Silkeborg,19,2002,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Rasmus Carstensen\64d7f629,dk DEN,DF,Silkeborg,20,2000,30.2,3,0,0,40,31,8,136,31,44,,,0,Matches
Edward Chilufya\b7b27de0,zm ZAM,FWMF,Midtjylland,21,1999,7.5,0,0,0,5,4,3,11,2,3,,,0,Matches
Frederik Christensen\a112ab29,dk DEN,FW,Viborg,26,1995,0,0,0,0,0,0,0,0,0,1,,,0,Matches
Jacob Christensen\324ff0da,dk DEN,MF,Nordsjælland,20,2001,16,1,0,0,22,8,0,14,22,25,,,0,Matches
Magnus Christensen\f3357915,dk DEN,MF,Aalborg,23,1997,9.2,5,0,0,16,5,0,2,15,17,,,0,Matches
Oliver Christensen\af104654,dk DEN,GK,Odense,22,1999,6,0,0,0,0,1,0,0,0,0,,,0,Matches
Hans Christian Bernat\e49bda8e,dk DEN,GK,Odense,20,2000,26,1,0,0,0,7,0,0,0,0,,,0,Matches
Peter Christiansen\ffe0853e,dk DEN,FW,SønderjyskE,21,1999,11.5,4,0,0,21,20,5,6,9,12,,,0,Matches
Viktor Claesson\b3a712de,se SWE,FWMF,FC Copenhagen,29,1992,8.2,0,0,0,4,10,2,5,6,8,,,0,Matches
Dion Cools\0331786b,my MAS,DFMF,Midtjylland,25,1996,4.6,0,0,0,2,4,0,3,7,6,,,0,Matches
Rezan Corlu\d171dc98,dk DEN,MF,Brøndby,23,1997,1.1,0,0,0,2,0,0,4,1,2,,,0,Matches
Lasso Coulibaly\78310540,gh GHA,FWMF,Nordsjælland,18,2002,13.7,4,1,0,37,16,10,14,8,17,,,1,Matches
Kevin Custovic\c79a24ce,se SWE,MF,Vejle BK,21,2000,3.4,0,0,0,2,2,0,4,6,3,,,0,Matches
Anthony D'Alberto\98684b0c,be BEL,DFMF,AGF,26,1994,13.9,2,0,0,7,5,1,30,22,12,,,0,Matches
Adam Daghim\17f9da8a,,MF,AGF,,,0.7,2,0,0,3,0,1,3,3,1,,,0,Matches
Jón Dagur Þorsteinsson\474beb8b,is ISL,FWMF,AGF,22,1998,18.4,8,0,0,24,33,9,135,4,16,,,0,Matches
Robin Dahl Østrøm\4ab66aa2,no NOR,DF,Odense,18,2002,7.3,0,0,0,10,1,0,8,9,9,,,0,Matches
Gustav Dahl\afd2c53a,dk DEN,DF,Silkeborg,25,1996,9.9,2,0,0,11,2,0,19,14,17,,,0,Matches
Marc Dal Hende\1404b749,dk DEN,DFMF,SønderjyskE,30,1990,29.1,4,0,0,22,18,1,78,36,45,,,0,Matches
Eskild Dall\f64253a3,dk DEN,FW,AGF,18,2003,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Henrik Dalsgaard\563cbac0,dk DEN,DF,Midtjylland,32,1989,26.9,3,0,0,25,33,2,32,31,17,,,1,Matches
Mohammed Daramy\06a1d642,dk DEN,MFFW,FC Copenhagen,19,2002,4.8,0,0,0,2,12,0,7,3,8,,,0,Matches
Viljormur Davidsen\ab7c9060,fo FRO,DF,Vejle BK,30,1991,9.6,1,0,0,3,3,1,26,8,5,,,0,Matches
Kellian van der Kaap\955aecc5,nl NED,DF,Viborg,22,1998,0.4,0,0,0,0,0,0,0,0,3,,,0,Matches
Frans Dhia Putros\0102aa7e,iq IRQ,DF,Viborg,28,1993,17.3,7,0,0,40,16,1,39,26,28,,,0,Matches
Kevin Diks\f179ee11,nl NED,DF,FC Copenhagen,24,1996,21.7,6,1,1,27,17,3,45,26,26,,,0,Matches
Mohammed Diomande\663629ae,ci CIV,MF,Nordsjælland,19,2001,16.7,7,0,0,21,31,2,14,14,13,,,0,Matches
Marko Divkovic\807cb743,hr CRO,FW,Brøndby,22,1999,14.6,3,0,0,10,29,3,45,7,8,,,0,Matches
Dominic\a3ab54b8,br BRA,FW,Vejle BK,26,1995,0.1,0,0,0,2,0,0,0,0,0,,,0,Matches
Mouhamadou Drammeh\309937e7,fr FRA,MF,Vejle BK,22,1999,14.8,3,0,0,17,24,0,9,27,11,,,0,Matches
Anders Dreyer\c6486b01,dk DEN,FW,Midtjylland,23,1998,15.1,0,0,0,5,6,4,58,6,4,,,0,Matches
Zach Duncan\5e2b88fa,au AUS,MF,AGF,21,2000,2.1,0,0,0,6,2,0,0,3,0,,,0,Matches
Nikolas Dyhr\0b243559,dk DEN,MF,Midtjylland,20,2001,15.2,1,0,0,9,19,0,42,15,17,,,0,Matches
Mads Døhr Thychosen\29e298a8,dk DEN,DF,Nordsjælland,24,1997,15.7,3,0,0,7,18,0,11,18,8,,,1,Matches
