Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Ísak Jóhannesson\c16c4e3b,is ISL,MF,Norrköping,17,2003,14.5,2,26,7,26.9,1.8,0.48,0.08,0.29,,0,0,Matches
Alexander Johansson\835023a5,se SWE,FW,Halmstad,21,2000,1.1,0,4,3,75,3.71,2.78,0,0,,0,0,Matches
Alexander Johansson\94180993,se SWE,FWMF,Varberg,25,1995,6.7,3,13,6,46.2,1.93,0.89,0.23,0.5,,0,0,Matches
Andreas Johansson\49a0c4f9,se SWE,DF,Halmstad,38,1982,30,1,7,3,42.9,0.23,0.1,0.14,0.33,,0,0,Matches
Carl Johansson\02f7a79a,se SWE,DF,Göteborg,26,1994,17.5,2,12,8,66.7,0.69,0.46,0.17,0.25,,0,0,Matches
Herman Johansson\6f864562,se SWE,FW,Mjällby,23,1997,1,0,0,0,,0,0,,,,0,0,Matches
Marko Johansson\d0975397,se SWE,GK,Malmö,22,1998,9,0,0,0,,0,0,,,,0,0,Matches
Noah Johansson\4bb5e605,se SWE,DF,Varberg,17,2003,0.2,0,3,1,33.3,18,6,0,0,,0,0,Matches
Piotr Johansson\5a471a3e,se SWE,MFDF,Kalmar,25,1995,28.1,0,13,3,23.1,0.46,0.11,0,0,,0,0,Matches
Sam Johnson\c423d845,lr LBR,FW,Mjällby,27,1993,1,1,3,2,66.7,3.07,2.05,0.33,0.5,,0,0,Matches
