Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Carljohan Eriksson\058b630f,fi FIN,GK,Mjällby,25,1995,20,20,1800,20,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Magnus Eriksson\5571f8b5,se SWE,MF,Djurgården,30,1990,30,30,2700,30,5,13,5,0,2,2,0,0.17,0.43,0.6,0.17,0.6,Matches
Sebastian Eriksson\35d76360,se SWE,MFDF,Göteborg,32,1989,16,14,1147,12.7,1,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches
August Erlingmark\ab54f943,se SWE,MFDF,Göteborg,22,1998,25,22,2007,22.3,1,0,1,0,0,8,0,0.04,0,0.04,0.04,0.04,Matches
Alexander Faltsetas\55fe5670,se SWE,MF,Häcken,33,1987,24,15,1453,16.1,0,0,0,0,0,8,0,0,0,0,0,0,Matches
Mads Fenger\df894060,dk DEN,DFMF,Hammarby,30,1990,29,28,2543,28.3,1,4,1,0,0,5,0,0.04,0.14,0.18,0.04,0.18,Matches
Josip Filipovic\28a57f0e,hr CRO,DF,Mjällby,24,1996,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hampus Finndell\5afc236c,se SWE,MF,Djurgården,20,2000,26,26,2184,24.3,3,0,3,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches
Adama Fofana\c98a3b4a,ci CIV,MFDF,Varberg,21,1999,13,9,855,9.5,0,2,0,0,0,2,0,0,0.21,0.21,0,0.21,Matches
Alexander Fransson\2e85c59c,se SWE,MF,Norrköping,26,1994,30,30,2659,29.5,0,1,0,0,0,2,0,0,0.03,0.03,0,0.03,Matches
Ari Freyr Skúlason\cce93ecd,is ISL,MFDF,Norrköping,33,1987,23,17,1566,17.4,2,2,2,0,0,4,0,0.11,0.11,0.23,0.11,0.23,Matches
Erik Friberg\3eaa3f36,se SWE,MF,Häcken,34,1986,15,13,1015,11.3,0,2,0,0,0,6,0,0,0.18,0.18,0,0.18,Matches
Per Frick\374368f1,se SWE,FW,Elfsborg,28,1992,27,25,2086,23.2,8,7,8,0,1,7,0,0.35,0.3,0.65,0.35,0.65,Matches
Richard Friday\1034f1e2,ng NGA,MFFW,Örebro,20,2000,9,6,616,6.8,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Ludvig Fritzson\768667c0,se SWE,MF,Östersund,25,1995,24,23,1875,20.8,1,1,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,Matches
Nils Fröling\5c9c3b66,se SWE,MFFW,Kalmar,20,2000,27,22,1724,19.2,4,4,4,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches
Jeffrey Gal\a689bb06,se SWE,GK,Degerfors,27,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Romain Gall\3da8cba0,us USA,MF,Örebro,26,1995,11,8,600,6.7,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
