Player,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches
Trym Sølvberg Ur\1a2cb0f1,Trym Sølvberg Ur\1a2cb0f1,no NOR,GK,19.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Vetle Dragsnes\6062bd22,Vetle Dragsnes\6062bd22,no NOR,MFDF,26.0,30.0,30.0,2670.0,29.7,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.07,0.1,0.17,0.07,0.17,Matches
Ifeanyi Mathew\93ff27ca,Ifeanyi Mathew\93ff27ca,ng NGA,MF,24.0,30.0,30.0,2639.0,29.3,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.07,0.14,0.2,0.07,0.2,Matches
Thomas Lehne Olsen\9dc3585e,Thomas Lehne Olsen\9dc3585e,no NOR,FW,29.0,29.0,29.0,2528.0,28.1,26.0,2.0,23.0,3.0,3.0,3.0,0.0,0.93,0.07,1.0,0.82,0.89,Matches
Ogbu Igoh\8af1b3a2,Ogbu Igoh\8af1b3a2,ng NGA,DF,20.0,26.0,26.0,2330.0,25.9,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.04,0.04,0.08,0.04,0.08,Matches
Espen Garnås\f0d43928,Espen Garnås\f0d43928,no NOR,DF,26.0,27.0,26.0,2322.0,25.8,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Gjermund Åsen\6b767188,Gjermund Åsen\6b767188,no NOR,FWMF,29.0,26.0,25.0,2214.0,24.6,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.08,0.49,0.57,0.08,0.57,Matches
Mads Christiansen\0c872cdf,Mads Christiansen\0c872cdf,no NOR,GK,20.0,24.0,24.0,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lars Ranger\73ed5e65,Lars Ranger\73ed5e65,no NOR,MFDF,21.0,24.0,21.0,1866.0,20.7,2.0,1.0,2.0,0.0,0.0,8.0,0.0,0.1,0.05,0.14,0.1,0.14,Matches
Daniel Gustavsson\887e19ae,Daniel Gustavsson\887e19ae,se SWE,FWMF,30.0,27.0,18.0,1575.0,17.5,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches
Kaan Kairinen\b3dcc2cf,Kaan Kairinen\b3dcc2cf,fi FIN,MF,22.0,20.0,17.0,1493.0,16.6,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.06,0.18,0.24,0.06,0.24,Matches
Tom Pettersson\c1268aa3,Tom Pettersson\c1268aa3,se SWE,DF,30.0,17.0,17.0,1449.0,16.1,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.19,0.06,0.25,0.19,0.25,Matches
Eskil Smidesang Edh\e3372668,Eskil Smidesang Edh\e3372668,no NOR,MF,18.0,24.0,14.0,1345.0,14.9,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.07,0.2,0.27,0.07,0.27,Matches
Magnus Knudsen\a48fb0c7,Magnus Knudsen\a48fb0c7,no NOR,MFFW,19.0,19.0,12.0,1012.0,11.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Philip Alexander Slørdahl\d442ad04,Philip Alexander Slørdahl\d442ad04,no NOR,DF,20.0,11.0,10.0,854.0,9.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tobias Svendsen\c2a35241,Tobias Svendsen\c2a35241,no NOR,FWMF,21.0,21.0,8.0,766.0,8.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ulrik Mathisen\4e32cf6d,Ulrik Mathisen\4e32cf6d,no NOR,FWMF,22.0,21.0,6.0,674.0,7.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Fredrik Krogstad\090ff4ec,Fredrik Krogstad\090ff4ec,no NOR,MFFW,25.0,24.0,6.0,631.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14,0.14,0.29,0.14,0.29,Matches
Knut-André Skjærstein\4b06552b,Knut-André Skjærstein\4b06552b,no NOR,GK,25.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pål André Helland\ef8f266e,Pål André Helland\ef8f266e,no NOR,FW,31.0,14.0,4.0,347.0,3.9,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.26,0.26,0.52,0.26,0.52,Matches
Alex Craninx\b947001e,Alex Craninx\b947001e,es ESP,GK,25.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonatan Braut Brunes\36adbbe0,Jonatan Braut Brunes\36adbbe0,no NOR,FW,20.0,18.0,1.0,223.0,2.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.81,0.4,0.81,Matches
Kent Håvard Eriksen\64dcc35f,Kent Håvard Eriksen\64dcc35f,no NOR,FW,29.0,2.0,0.0,30.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,Matches
Henrik Skogvold\8353e96a,Henrik Skogvold\8353e96a,no NOR,MF,16.0,3.0,0.0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martin Bergum\84b68123,Martin Bergum\84b68123,no NOR,MF,18.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Josef Brian Baccay\ea005201,Josef Brian Baccay\ea005201,no NOR,FW,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simen Kind Mikalsen\04370015,Simen Kind Mikalsen\04370015,no NOR,DFMF,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexander Sannes\8658b2ee,Alexander Sannes\8658b2ee,no NOR,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,Matches
