Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Jacob Eng\b8b63e3e,no NOR,FW,Vålerenga,16,2004,0.5,0,0,0,2,1,0,2,0,2,,,0,Matches
Pål Erik Ulvestad\abcce9e2,no NOR,MF,Kristiansund,30,1990,9.3,3,0,0,12,11,0,6,13,18,,,0,Matches
Ivar Erlien Furu\8dffc38c,no NOR,DF,Kristiansund,26,1994,1,0,0,0,0,1,0,0,0,0,,,0,Matches
Runar Espejord\16322a52,no NOR,FW,Tromsø,24,1996,9.1,0,0,0,6,7,2,8,4,1,,,0,Matches
Henrik Falchener\57fe6b9b,no NOR,DF,Sandefjord,17,2003,0.9,0,0,0,1,1,0,0,0,0,,,0,Matches
Kristian Fardal Opseth\769f9f28,no NOR,FW,Sarpsborg 08,31,1990,6.7,0,0,0,7,7,2,1,3,1,,,0,Matches
Julian Faye-Lund\ca3fff03,no NOR,GK,Rosenborg,21,1999,4.3,0,0,0,0,1,0,0,0,0,,,0,Matches
Bård Finne\78699620,no NOR,FWMF,Brann,25,1995,11.7,0,0,0,8,5,8,119,2,6,,,0,Matches
David Fofana\e82900ef,ci CIV,FW,Molde,18,2002,3.6,0,0,0,7,7,5,0,1,7,,,0,Matches
Vegard Forren\d75eebda,no NOR,DF,Brann,32,1988,9.1,2,0,0,9,7,0,2,16,2,,,0,Matches
Sander Foss\dd6c1712,no NOR,DF,Sandefjord,22,1998,27,6,0,0,12,15,0,3,29,15,,,1,Matches
Ulrik Fredriksen\f8242397,no NOR,DF,Haugesund,21,1999,26,3,0,0,22,20,2,32,34,19,,,1,Matches
Fred Friday\fbaf247c,ng NGA,FW,Strømsgodset,25,1995,27.6,3,0,0,50,54,35,18,5,17,,,0,Matches
Samúel Friðjónsson\55557b25,is ISL,MF,Viking,24,1996,16.6,4,0,0,12,18,3,8,20,16,,,0,Matches
Espen Garnås\f0d43928,no NOR,DF,Lillestrøm,26,1994,25.8,6,0,0,31,24,0,4,42,14,,,0,Matches
Christian Gauseth\497627e2,no NOR,MF,Mjøndalen,36,1984,13.7,3,0,0,13,8,0,0,11,17,,,0,Matches
Herman Geelmuyden\d03e4082,no NOR,MF,Stabæk,19,2002,6.8,3,0,0,11,9,0,8,8,10,,,0,Matches
Lennart Grill\37998008,de GER,GK,Brann,22,1999,13,0,0,0,0,0,0,0,0,0,,,0,Matches
Magnus Grødem\f6e8ee38,no NOR,MF,Molde,22,1998,3.2,0,0,0,6,7,1,1,0,4,,,0,Matches
Thomas Grøgaard\836689d0,no NOR,DF,Strømsgodset,26,1994,8.1,1,0,0,12,6,0,23,27,17,,,0,Matches
Thomas Grøgaard\836689d0,no NOR,MFDF,Brann,26,1994,3,0,0,0,5,3,1,4,2,3,,,0,Matches
Tobias Gulliksen\7f24d8d9,no NOR,MFFW,Strømsgodset,17,2003,21.5,5,0,0,43,32,2,11,25,20,,,0,Matches
Jostein Gundersen\bf4aca93,no NOR,DF,Tromsø,24,1996,17.7,7,0,0,23,9,0,4,31,27,,,0,Matches
Kristoff Gunnarshaug\d1508ecc,no NOR,MF,Haugesund,21,1999,0.4,0,0,0,0,0,0,1,0,2,,,0,Matches
Niklas Gunnarsson\64fbb7f4,no NOR,DF,Strømsgodset,29,1991,17,5,0,0,23,16,0,10,20,7,,,0,Matches
Patrik Gunnarsson\4d39152d,is ISL,GK,Viking,20,2000,6.2,0,1,0,1,1,0,0,0,0,,,0,Matches
Sivert Gussiås\16855f19,no NOR,FW,Sandefjord,21,1999,2.2,0,0,0,5,3,0,1,0,2,,,0,Matches
Daniel Gustavsson\887e19ae,se SWE,FWMF,Lillestrøm,30,1990,17.5,2,0,0,16,11,1,23,9,18,,,0,Matches
Mats Haakenstad\c85826b7,no NOR,DF,Sandefjord,27,1993,16.4,0,0,0,5,22,2,30,10,10,,,0,Matches
Elias Hadaya\6c43465f,se SWE,GK,Kristiansund,22,1998,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches
Tobias Hafstad\b76eec70,no NOR,FW,Tromsø,18,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Elias Hagen\7673e4bc,no NOR,MF,Bodø/Glimt,21,2000,7.9,2,0,0,5,2,0,5,8,11,,,0,Matches
Steffen Hagen\2ba1985a,no NOR,DF,Odd,34,1986,6.2,0,0,0,4,1,0,1,8,5,,,0,Matches
Nikita Haikin\60831426,ru RUS,GK,Bodø/Glimt,25,1995,29,1,0,0,0,2,0,0,0,1,,,0,Matches
Thomas Hallstensen\f7e37b89,no NOR,MF,Odd,18,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Simen Hammershaug\fa7a3f3f,no NOR,FW,Strømsgodset,20,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Adrian Hansen\4b35ec8b,no NOR,DF,Mjøndalen,19,2001,3.1,1,0,0,5,1,0,0,8,3,,,0,Matches
André Hansen\5e91ddf8,no NOR,GK,Rosenborg,31,1989,25.7,0,0,0,0,5,0,0,1,0,,,0,Matches
Benjamin Hansen\8916e76c,dk DEN,DF,Haugesund,26,1994,29,2,0,0,13,9,5,0,31,28,,,0,Matches
Kornelius Hansen\a7273643,no NOR,MFFW,Stabæk,19,2001,20.1,2,1,0,13,26,4,25,14,18,,,0,Matches
Sondre Hanssen\12ff6acb,no NOR,DF,Strømsgodset,19,2001,1,0,0,0,0,0,0,0,2,0,,,0,Matches
Kjetil Haug\d3ae48eb,no NOR,GK,Vålerenga,22,1998,13.6,0,0,0,0,2,0,0,0,0,,,0,Matches
Fredrik Haugen\8b25b500,no NOR,MF,Stabæk,28,1992,11,1,0,0,28,6,0,34,13,18,,,0,Matches
Herman Haugen\da9f4fa3,no NOR,DF,Viking,20,2000,2.1,0,0,0,3,2,1,4,0,3,,,0,Matches
Kristoffer Haugen\52d7f819,no NOR,DF,Molde,26,1994,21.5,4,0,0,19,14,2,68,28,34,,,1,Matches
Kent Håvard Eriksen\64dcc35f,no NOR,FW,Mjøndalen,29,1991,10.1,0,0,0,13,14,12,2,4,10,,,0,Matches
Kent Håvard Eriksen\64dcc35f,no NOR,FW,Lillestrøm,29,1991,0.3,0,0,0,2,0,1,0,0,0,,,0,Matches
Aune Heggebø\70d2c6e7,no NOR,FW,Brann,19,2001,18.5,1,0,0,31,23,4,2,3,14,,,0,Matches
Henrik Heggheim\8a3aabc1,no NOR,DF,Viking,19,2001,16.5,2,0,0,16,14,0,2,24,16,,,0,Matches
Sivert Heltne Nilsen\d676dd35,no NOR,MF,Brann,29,1991,15,5,0,0,29,21,1,5,32,40,,,0,Matches
